"id","brand","title","image_url","price","link"
"30a4cc0c-8498-427c-b12f-c968e604eb98","Reformation","Fern Satin Short - Black","https://media.thereformation.com/image/list/fn_select:jq:first(.%5B%5D%7Cif%20has(%22metadata%22)%20then%20select(any(.metadata%5B%5D;%20.external_id%20==%20%22sfcc-is-main%22%20and%20.value.value%20==%20%22True%22))%20else%20empty%20end)/f_auto,q_auto:eco,dpr_auto/w_600/1318293-BLK.json?_s=RAABAB0","N/A","https://www.thereformation.com/clothing"
"e31df820-d53d-40cd-90ef-8bbe99f1127b","Reformation","Rowan Crew Tee - White","https://media.thereformation.com/image/list/fn_select:jq:first(.%5B%5D%7Cif%20has(%22metadata%22)%20then%20select(any(.metadata%5B%5D;%20.external_id%20==%20%22sfcc-is-main%22%20and%20.value.value%20==%20%22True%22))%20else%20empty%20end)/f_auto,q_auto:eco,dpr_auto/w_600/1316467-WHT.json?_s=RAABAB0","N/A","https://www.thereformation.com/clothing"
"c0b1124b-da2d-4092-b080-0b5c026e9ded","Reformation","Tefi Knit Top - Mole","https://media.thereformation.com/image/list/fn_select:jq:first(.%5B%5D%7Cif%20has(%22metadata%22)%20then%20select(any(.metadata%5B%5D;%20.external_id%20==%20%22sfcc-is-main%22%20and%20.value.value%20==%20%22True%22))%20else%20empty%20end)/f_auto,q_auto:eco,dpr_auto/w_600/1317434-OOL.json?_s=RAABAB0","N/A","https://www.thereformation.com/clothing"
"f1fb0158-9167-4803-b90a-2c7b4c4130de","Reformation","Amy Bodysuit - Black","https://media.thereformation.com/image/list/fn_select:jq:first(.%5B%5D%7Cif%20has(%22metadata%22)%20then%20select(any(.metadata%5B%5D;%20.external_id%20==%20%22sfcc-is-main%22%20and%20.value.value%20==%20%22True%22))%20else%20empty%20end)/f_auto,q_auto:eco,dpr_auto/w_600/1301800-BLK.json?_s=RAABAB0","N/A","https://www.thereformation.com/clothing"
"510bf778-5d12-4b87-b432-82e3ef124f62","Reformation","Vida Low Rise Pant - Pitch Black","https://media.thereformation.com/image/list/fn_select:jq:first(.%5B%5D%7Cif%20has(%22metadata%22)%20then%20select(any(.metadata%5B%5D;%20.external_id%20==%20%22sfcc-is-main%22%20and%20.value.value%20==%20%22True%22))%20else%20empty%20end)/f_auto,q_auto:eco,dpr_auto/w_600/1314838-PIB.json?_s=RAABAB0","N/A","https://www.thereformation.com/clothing"
"25a01dea-1654-4ece-b6bb-c63b35404adc","Reformation","Kiera Linen Top - Sugar","https://media.thereformation.com/image/list/fn_select:jq:first(.%5B%5D%7Cif%20has(%22metadata%22)%20then%20select(any(.metadata%5B%5D;%20.external_id%20==%20%22sfcc-is-main%22%20and%20.value.value%20==%20%22True%22))%20else%20empty%20end)/f_auto,q_auto:eco,dpr_auto/w_600/1301922-USG.json?_s=RAABAB0","N/A","https://www.thereformation.com/clothing"
"197f9e48-573f-4ee1-8375-db808e67509a","Reformation","Clara Cashmere Crew Cardigan - Granite","https://media.thereformation.com/image/list/fn_select:jq:first(.%5B%5D%7Cif%20has(%22metadata%22)%20then%20select(any(.metadata%5B%5D;%20.external_id%20==%20%22sfcc-is-main%22%20and%20.value.value%20==%20%22True%22))%20else%20empty%20end)/f_auto,q_auto:eco,dpr_auto/w_600/1312652-GNT.json?_s=RAABAB0","N/A","https://www.thereformation.com/clothing"
"9c1b0be3-80e8-4f62-a57d-d8da19ac3ece","Reformation","Luke Knit Dress - Dream Dot","https://media.thereformation.com/image/list/fn_select:jq:first(.%5B%5D%7Cif%20has(%22metadata%22)%20then%20select(any(.metadata%5B%5D;%20.external_id%20==%20%22sfcc-is-main%22%20and%20.value.value%20==%20%22True%22))%20else%20empty%20end)/f_auto,q_auto:eco,dpr_auto/w_600/1318403-DDO.json?_s=RAABAB0","N/A","https://www.thereformation.com/clothing"
"40fa6a7e-d316-4abe-89a1-7de46631aeff","Reformation","Rowan Crew Tee - Chocolate Cake","https://media.thereformation.com/image/list/fn_select:jq:first(.%5B%5D%7Cif%20has(%22metadata%22)%20then%20select(any(.metadata%5B%5D;%20.external_id%20==%20%22sfcc-is-main%22%20and%20.value.value%20==%20%22True%22))%20else%20empty%20end)/f_auto,q_auto:eco,dpr_auto/w_600/1316467-CTK.json?_s=RAABAB0","N/A","https://www.thereformation.com/clothing"
"b9494b9a-aff7-4e97-af9c-2c631d8b9926","Reformation","Bella Silk Skirt - Mango","https://media.thereformation.com/image/list/fn_select:jq:first(.%5B%5D%7Cif%20has(%22metadata%22)%20then%20select(any(.metadata%5B%5D;%20.external_id%20==%20%22sfcc-is-main%22%20and%20.value.value%20==%20%22True%22))%20else%20empty%20end)/f_auto,q_auto:eco,dpr_auto/w_600/1313790-NGO.json?_s=RAABAB0","N/A","https://www.thereformation.com/clothing"
